,Unnamed: 0,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount,isbn,price,currency,description,thumbnail
10,10,Population Health Science,"['Katherine M. Keyes', 'Sandro Galea', 'Robert a Knox Professor and Dean Sandro Galea, MD']",en,,,NOT_MATURE,Oxford University Press,2016-08-04,224.0,9780190459376,-1,N/A,"POPULATION HEALTH SCIENCE formalizes an emerging discipline at the crossroads of social and medical sciences, demography, and economics--an emerging approach to population studies that represents a seismic shift in how traditional health sciences measure and observe health events. Bringing together theories and methods from diverse fields, this text provides grounding in the factors that shape population health. The overall approach is one of consequentialist science: designing creative studies that identify causal factors in health with multidisciplinary rigor. Distilled into nine foundational principles, this book guides readers through population science studies that strategically incorporate: · macrosocial factors · multilevel, lifecourse, and systems theories · prevention science fundamentals · return on investment · equity and efficiency Harnessing the power of scientific inquiry and codifying the knowledge base for a burgeoning field, POPULATION HEALTH SCIENCE arms readers with tools to shift the curve of population health.",http://books.google.com/books/content?id=RMCSDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
11,11,Retelling the Nicaraguan Revolution as a Dionysian Ritual,['Martina Handler'],en,['History'],,NOT_MATURE,LIT Verlag Münster,2010,139.0,9783643500977,-1,N/A,"Uncountable books have been written on the Nicaraguan revolution in 1979, due to the fascination connected with the idea of revolution in general and with its realization in Nicaragua in particular. This book retells the story of the Nicaraguan revolution with the words of women, aiming to show how a high level of transformative energy was accumulated in the Nicaraguan society over time, based on a common utopian vision of a better future for all. The energetic upheaval can be analyzed as a Dionysian ritual. However, the book also follows up on the Apollonian aftermath of the revolution. Martina Handler is a social scientist and a graduate of the Master Program in Peace, Development, Security and International Conflict Transformation in Innsbruck, Austria.",http://books.google.com/books/content?id=-5s009OrP-0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
12,12,Flowers for Algernon,['BookCaps Study Guides Staff'],en,['Biography & Autobiography'],,NOT_MATURE,BookCaps Study Guides,2011,,9780575088498,-1,N/A,"The classic novel about a daring experiment in human intelligence 'A masterpiece of poignant brilliance . . . heartbreaking, and utterly, completely brilliant' Guardian 'A timeless tearjerker' Independent Charlie Gordon, IQ 68, is a floor sweeper and the gentle butt of everyone's jokes - until an experiment in the enhancement of human intelligence turns him into a genius. But then Algernon, the mouse whose triumphal experimental transformation preceded his, fades and dies, and Charlie has to face the possibility that his salvation was only temporary. Readers can't stop reading Flowers For Algernon: 'I am finding it hard to put into words the vast range of emotions I experienced while reading this tale of hope, perseverance, truth and humanity . . . I'm a huge fan of science fiction that doesn't seem too far away; something that I could imagine being just around the corner - and that's how I felt about Flowers for Algernon' Goodreads reviewer, ⭐ ⭐ ⭐ ⭐ ⭐ 'You're watching Charlie, the main character, go through an experimental procedure that increases his IQ. The whole book, written in diary entries, let us see how it affects his life and how he struggles through it. I rarely cry while reading a book but I couldn't help myself here. It's a classic for a reason. Read it. You won't be able to put it down' Goodreads reviewer, ⭐ ⭐ ⭐ ⭐ ⭐ 'Heartbreaking and beautiful. Required reading, as far as I am concerned' Wil Wheaton 'This book is extraordinary, one of my favorites. It is a fast read but is is very powerful and heartbreaking. I read it in the plane and I felt a little embarrassed when I started to weep at the end of the book' Goodreads reviewer, ⭐ ⭐ ⭐ ⭐ ⭐ 'One of those stories I wish I would have read years earlier. It's simply marvellous. It's about the nature of intelligence and how intelligence can be divisive. It's a very emotional book' Goodreads reviewer, ⭐ ⭐ ⭐ ⭐ ⭐",http://books.google.com/books/content?id=8Pr_kLFxciYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
13,13,Handbook of Applied Developmental Science,"['Richard M. Lerner', 'Francine Jacobs', 'Donald Wertlieb']",en,['Psychology'],,NOT_MATURE,SAGE,2003,2296.0,0761922784,-1,N/A,"The Handbook of Applied Developmental Science is the only work to comprehensively present the latest theory, research, and application from applied developmental science (ADS) and the positive psychology movement. It summarizes and synthesizes the best scientific knowledge from ADS to help readers understand the efforts being made around the world to ensure that all children and adolescents develop into healthy adults who contribute positively to society. The Handbook is also the first resource to organize and integrate both the prevention and promotion approaches to programs and policies for children, adolescents, and families. In addition, the Handbook provides a detailed road map for future research and for actions that will promote positive child, youth, and family development. Published in four volumes, the Handbook features 95 chapters by more than 150 contributors, many of who are renowned leaders in the field. Volume 1 describes the foundation of applied developmental science, its historical development, and current scientific and professional efforts to develop policies and programs that promote positive child, adolescent, and family development. Volume 2 examines public policy and government service systems. Volume 3 discusses community systems for enhancing citizenship and promoting a civil society. Finally, Volume 4 outlines methods for university engagement and academic outreach. Feature and Benefits - Four comprehensive, topical volumes - Approximately 2,200 pages - 95 chapters - More than 150 contributors, many of whom are world-renowned leaders in applied development science from the academic, professional, and policy and political arenas - Forewords for each volume written by well-known authorities, including Edward Zigler, co-founder of the Head Start program; US Congressman Elijah E Cummings; David Bell, International Youth Foundation; and Graham Spanier, President, The Pennsylvania State University Designed for a wide audience the Handbook will be an important addition to your library collection. It offers a single source for information about fostering generations of healthy children and families. It is designed specifically to meet the needs of: - Faculty and students in the fields of psychology, human development, family studies, policy studies, nursing, allied health, and education - Staff and volunteers working in non-governmental organizations - Members of local, state, national, and international government organizations and personnel involved in policy and program development and funding - Directors and staff at foundations that administer programs aimed at promoting positive your and family development",http://books.google.com/books/content?id=LQdqL8t-u0oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
14,14,Wade Keyes' introductory lecture to the Montgomery Law School,"['David I. Durham', 'Wade Keyes', 'Paul M. Pruitt']",en,['Law'],,NOT_MATURE,,2001,45.0,STANFORD:36105062982579,-1,N/A,"An example of the legal thought of his time, Mr. Keyes' lecture deals with questions of legal ethics, the place of lawyers in society, and the historical and philosophical roots of the legal profession.",http://books.google.com/books/content?id=3Ug7AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
15,15,The Journal of the Iowa Academy of Science,,en,['Science'],,NOT_MATURE,,1989,,1314954695,-1,N/A,"Unlike some other reproductions of classic texts (1) We have not used OCR(Optical Character Recognition), as this leads to bad quality books with introduced typos. (2) In books where there are images such as portraits, maps, sketches etc We have endeavoured to keep the quality of these images, so they represent accurately the original artefact. Although occasionally there may be certain imperfections with these old texts, we feel they deserve to be made available for future generations to enjoy.",http://books.google.com/books/content?id=HX0ZnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
16,16,Dental Science in a New Age,['Ruth Roy Harris'],en,['Dentistry'],,NOT_MATURE,,1989,476.0,UOM:39015013800258,-1,N/A,N/A,http://books.google.com/books/content?id=8BhqAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
17,17,List of the Scientific Writings of Charles Rollin Keyes,,en,['Geology'],,NOT_MATURE,,1909,23.0,STANFORD:36105032123338,-1,N/A,N/A,http://books.google.com/books/content?id=BI0nAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
18,18,A Study Guide for Daniel Keyes's Flowers for Algernon,"['Gale, Cengage Learning']",en,['Literary Criticism'],,NOT_MATURE,"Gale, Cengage Learning ",2015-03-13,15.0,1375398245,-1,N/A,"A Study Guide for Daniel Keyes's ""Flowers for Algernon,"" excerpted from Gale's acclaimed Novels for Students.This concise study guide includes plot summary; character analysis; author biography; study questions; historical context; suggestions for further reading; and much more. For any literature project, trust Novels for Students for all of your research needs.",http://books.google.com/books/content?id=UIVTtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
19,19,Domain-based Parallelism and Problem Decomposition Methods in Computational Science and Engineering,"['David E. Keyes', 'Yousef Saad', 'Donald G. Truhlar']",en,['Mathematical optimization'],,NOT_MATURE,SIAM,1995-01-01,323.0,1611971500,-1,N/A,"This refereed volume arose from the editors' recognition that physical scientists, engineers, and applied mathematicians are developing, in parallel, solutions to problems of parallelization. The cross-disciplinary field of scientific computation is bringing about better communication between heterogeneous computational groups, as they face this common challenge. This volume is one attempt to provide cross-disciplinary communication. Problem decomposition and the use of domain-based parallelism in computational science and engineering was the subject addressed at a workshop held at the University of Minnesota Supercomputer Institute in April 1994. The authors were subsequently able to address the relationships between their individual applications and independently developed approaches. This book is written for an interdisciplinary audience and concentrates on transferable algorithmic techniques, rather than the scientific results themselves. Cross-disciplinary editing was employed to identify jargon that needed further explanation and to ensure provision of a brief scientific background for each chapter at a tutorial level so that the physical significance of the variables is clear and correspondences between fields are visible.",http://books.google.com/books/content?id=_Ls0E-ITVpgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
